Total signal evaluations on June 26: 210

Time (UTC)           | Coin | Sent | Sent Score | Conf   | Source          | Missed Reason        | Matched Event                                     
2026-06-26 07:35:17  | SOL  | DOWN | 0.8567     | 0.8567 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:40:08  | ETH  | DOWN | 0.8000     | 0.8000 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 3:40AM-3:45AM ET   
2026-06-26 07:40:09  | BTC  | DOWN | 0.7467     | 0.7467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:40:10  | XRP  | DOWN | 0.7700     | 0.7700 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:40:17  | SOL  | UP   | 0.9467     | 0.9467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:45:09  | ETH  | UP   | 0.8670     | 0.8670 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:45:09  | SOL  | DOWN | 0.9067     | 0.9067 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:45:09  | XRP  | DOWN | 0.8500     | 0.8500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 08:00:10  | SOL  | DOWN | 0.7467     | 0.7467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 08:00:17  | BTC  | UP   | 0.8308     | 0.8308 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 4:00AM-4:15AM ET    
2026-06-26 08:00:18  | XRP  | UP   | 0.6525     | 0.6525 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 08:10:33  | SOL  | DOWN | 0.7267     | 0.7267 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 08:20:25  | SOL  | UP   | 0.8675     | 0.8675 | EnsembleML      | N/A                  | Solana Up or Down - June 26, 4:20AM-4:25AM ET     
2026-06-26 08:35:16  | XRP  | DOWN | 0.9459     | 0.9459 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 08:45:10  | DOGE | UP   | 0.8300     | 0.8300 | EnsembleML      | N/A                  | Dogecoin Up or Down - June 26, 4:45AM-4:50AM ET   
2026-06-26 08:45:10  | XRP  | UP   | 0.9567     | 0.9567 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 08:45:10  | SOL  | UP   | 0.7500     | 0.7500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 08:50:09  | XRP  | UP   | 0.7567     | 0.7567 | EnsembleML      | N/A                  | XRP Up or Down - June 26, 4:50AM-4:55AM ET        
2026-06-26 08:55:16  | XRP  | UP   | 0.6967     | 0.6967 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 09:00:09  | XRP  | UP   | 0.6967     | 0.6967 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 09:05:08  | XRP  | UP   | 0.6467     | 0.6467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 09:10:08  | XRP  | UP   | 0.6967     | 0.6967 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 09:10:09  | SOL  | UP   | 1.0000     | 1.0000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 09:30:32  | BTC  | DOWN | 0.6473     | 0.6473 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 09:30:33  | XRP  | DOWN | 0.7941     | 0.7941 | EnsembleML      | N/A                  | XRP Up or Down - June 26, 5:30AM-5:35AM ET        
2026-06-26 09:40:08  | SOL  | DOWN | 0.6593     | 0.6593 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 09:40:09  | BTC  | DOWN | 0.7731     | 0.7731 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 5:40AM-5:45AM ET    
2026-06-26 10:00:09  | BTC  | UP   | 0.7200     | 0.7200 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 6:00AM-6:05AM ET    
2026-06-26 10:00:17  | SOL  | DOWN | 0.9873     | 0.9873 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:00:33  | XRP  | DOWN | 1.0000     | 1.0000 | EnsembleML      | N/A                  | XRP Up or Down - June 26, 6:00AM-6:05AM ET        
